3,"813 ","AFFILIATED CB                                     ","                                                  ","16045351141","16045355174","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON - FRI: 7:30 TO 5:30 PM"
103,"427 ","FEDEX TRADE NETWORKS                              ","                                                  ","19052625563","19052625759","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
104,"440 ","FEDEX TRADE NETWORKS                              ","                                                  ","15193836445","15193838038","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
105,"453 ","FEDEX TRADE NETWORKS                              ","                                                  ","15199668346","15199668350","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
106,"502 ","FEDEX TRADE NETWORKS                              ","                                                  ","12043732268","12043732592","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","TILL 11 PM"
107,"705 ","FEDEX TRADE NETWORKS                              ","                                                  ","14033442555","14033442453","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
108,"813 ","FEDEX TRADE NETWORKS                              ","                                                  ","16042787785","16042769419","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
109,"351 ","FISKER CARGO                                      ","                                                  ","15146361122","15146365025","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
110,"427 ","FISKER CARGO                                      ","                                                  ","9056290055 ","9056298689 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON - FRI: 8-5"
111,"ALL ","FRANK M ODOWD                                     ","                                                  ","14188712605","14188716943","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8:30 TO 5"
112,"ALL ","FRANK R STOCKWELL LTD                             ","                                                  ","4162557311 ","4162559531 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
113,"ALL ","FRASIER DIRECT                                    ","                                                  ","9058774411 ","9058772053 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
114,"351 ","GARDEN CITY CB                                    ","                                                  ","19053538735","19053539880","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
115,"427 ","GARDEN CITY CB                                    ","                                                  ","19052625858","19052625819","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
116,"440 ","GARDEN CITY CB                                    ","                                                  ","15193321019","15193325945","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
117,"453 ","GARDEN CITY CB                                    ","                                                  ","15192508811","15192508815","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
118,"502 ","GARDEN CITY CB                                    ","                                                  ","19053538735","19053539880","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
119,"705 ","GARDEN CITY CB                                    ","                                                  ","19053538735","19053539880","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
120,"813 ","GARDEN CITY CB                                    ","                                                  ","19053538735","19053539880","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
121,"ALL ","GATEWAY CB                                        ","                                                  ","15195421543","15195422670","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
122,"ALL ","GATEWAY CB                                        ","                                                  ","4162529169 ","4162591797 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","National Fire Equipment"
123,"ALL ","GENERAL CB                                        ","                                                  ","15148761704","15143929262","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","UNTIL 11:30 PM"
124,"ALL ","GEORGE A GRAY CB                                  ","                                                  ","17055602400","17055606928","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
125,"351 ","GEORGE H YOUNG                                    ","                                                  ","12049476851","12049473306","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
126,"427 ","GEORGE H YOUNG                                    ","                                                  ","4166957555 ","4166957550 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
127,"453 ","GEORGE H YOUNG                                    ","                                                  ","12049476851","12049473306","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
128,"502 ","GEORGE H YOUNG                                    ","                                                  ","12043732167","12043732004","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON TO FRI: 8 TO MIDNIGHT"
129,"705 ","GEORGE H YOUNG                                    ","                                                  ","12049476851","12049473306","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
130,"813 ","GEORGE H YOUNG                                    ","                                                  ","12049476851","12049473306","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
131,"ALL ","GIRDLESTONE CB                                    ","                                                  ","19058717171","19058713791","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
132,"ALL ","GLOVER CB                                         ","                                                  ","16137312500","16137315677","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
133,"ALL ","GOLDEN JET FREIGHT FORWARDERS                     ","                                                  ","9056763812 ","9056760983 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
134,"ALL ","GOUDREAU CARGO INTL                               ","                                                  ","14506821150","14506821779","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
135,"705 ","HH SMITH CB                                       ","                                                  ","14033443822","14033443027","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","Coutts Office"
136,"ALL ","HH SMITH CB                                       ","                                                  ","17804226004","17804259308","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","Head office"
137,"ALL ","H KENNEDY INC                                     ","                                                  ","14509799090","14509790433","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8:30-5"
138,"ALL ","HANOVER TRAVEL                                    ","                                                  ","15193645221","15193643880","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON TO FRI: 9 TO 5"
139,"ALL ","HART & LYNE LIMITED                               ","                                                  ","19055610757","19055610757","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
140,"351 ","HARTWICK, O SHEA & CARTWRIGHT LTD                 ","                                                  ","15146338696","15146360426","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
141,"427 ","HARTWICK, O SHEA & CARTWRIGHT LTD                 ","                                                  ","19058715993","19058715211","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
142,"453 ","HARTWICK, O SHEA & CARTWRIGHT LTD                 ","                                                  ","15199720538","15199728555","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","UNTIL MIDNIGHT"
143,"ALL ","HARTWICK, O SHEA & CARTWRIGHT LTD                 ","                                                  ","9056763230 ","9056761966 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
144,"ALL ","HARTWICK, O SHEA & CARTWRIGHT LTD                 ","                                                  ","9056763230 ","9056761966 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
145,"ALL ","HELLMANN WORLDWIDE LOGISTICS                      ","                                                  ","9055646620 ","9055642985 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
146,"ALL ","HEMISPHERE CB                                     ","                                                  ","4162525661 ","4162521286 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
147,"ALL ","HENDERSON BROTHERS                                ","                                                  ","4165108180 ","4165108144 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
148,"ALL ","HERCULES FORWARDING INC                           ","                                                  ","16045171331","16045173893","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
149,"ALL ","HIGHWAY CB                                        ","                                                  ","4166957555 ","4166957550 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
150,"ALL ","HOME HARDWARE CUSTOMS DEPT                        ","                                                  ","15196642252","15196649971","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","SELF CLEAR"
151,"ALL ","IMEX CB                                           ","                                                  ","18666714004","9057128203 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
152,"ALL ","INLAND CB                                         ","                                                  ","15198247330","15198240208","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","mon to fri 08:30 to 05:00 "
153,"ALL ","INTEGRATED CB                                     ","                                                  ","15195398431","15194217561","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
154,"ALL ","INTERCONTINENTAL CUSTOMS SERVICES                 ","                                                  ","9054515550 ","9054511542 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8:30 - 5:30"
155,"ALL ","INTERTRAN CANADA LTD ATTN: KIM                    ","                                                  ","17057282262","17057284836","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","SELF CLEAR"
156,"ALL ","ISL CUSTOMS BROKERS (ISLAND CB)                   ","                                                  ","12507542305","12507542544","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","OPEN 8 AM - 8 PM PST."
157,"ALL ","J & B  CUSTOMS BROKER                             ","                                                  ","9056255151 ","9056250202 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: UNTIL MIDNIGHT"
158,"ALL ","J C NORRIS & SON LTD                              ","                                                  ","9056709035 ","9056702618 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
159,"ALL ","JB ELLIS CB                                       ","                                                  ","16044087150","16044087175","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
160,"ALL ","JD O HEARN & CO                                   ","                                                  ","4162595076 ","4162593183 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","830-5 m-f"
161,"351 ","DFDS TRANSPORT (JH BACHMAN)                       ","                                                  ","9056290055 ","9056298689 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
162,"427 ","DFDS TRANSPORT (JH BACHMAN)                       ","                                                  ","19058719612","19058716970","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
163,"453 ","DFDS TRANSPORT (JH BACHMAN)                       ","                                                  ","19058719612","19058716970","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
164,"502 ","DFDS TRANSPORT (JH BACHMAN)                       ","                                                  ","9056290055 ","9056298689 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
165,"705 ","DFDS TRANSPORT (JH BACHMAN)                       ","                                                  ","9056290055 ","9056298689 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
166,"813 ","DFDS TRANSPORT (JH BACHMAN)                       ","                                                  ","16042735595","16042735596","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
167,"ALL ","JJ ROBERTSON                                      ","                                                  ","15148450293","15148451234","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
168,"ALL ","J RENE HEBERT                                     ","                                                  ","15142810112","15142810118","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
